"Story","Title","Result","Date","Stability","Duration (s)"
"CART of product","GET carts with limit number","SUCCESS","2023-04-16T12:54:45.1913781+07:00[Asia/Jakarta]","0.0","1.32"
"CART of product","Short Result by Desc GET Cart","SUCCESS","2023-04-16T12:54:46.5909186+07:00[Asia/Jakarta]","0.0","1.83"
"CART of product","PUT new add product for any cart","SUCCESS","2023-04-16T12:54:48.4730319+07:00[Asia/Jakarta]","0.0","1.3"
"LOGIN for admin fakestoreapi","POST valid username and password to Login","SUCCESS","2023-04-16T12:54:49.8690624+07:00[Asia/Jakarta]","0.0","1.3"
"LOGIN for admin fakestoreapi","POST INVALID password and Valid Username","SUCCESS","2023-04-16T12:54:51.1962428+07:00[Asia/Jakarta]","0.0","1.26"
"Access Product from Shop","Get Product by id","SUCCESS","2023-04-16T12:54:52.4956967+07:00[Asia/Jakarta]","0.0","1.29"
"Access Product from Shop","Get product by short the parameter","SUCCESS","2023-04-16T12:54:53.8289364+07:00[Asia/Jakarta]","0.0","1.51"
"Access Product from Shop","Get the product by it's category","SUCCESS","2023-04-16T12:54:55.3753658+07:00[Asia/Jakarta]","0.0","1.19"
"Access Product from Shop","POST new data of product","SUCCESS","2023-04-16T12:54:57.4437032+07:00[Asia/Jakarta]","0.0","1.03"
"USER feature","POST new data for new user","SUCCESS","2023-04-16T12:54:59.4887149+07:00[Asia/Jakarta]","0.0","1.28"
